scet,name,value,unit
2025-351T13:23:18,Fault,77,none
2025-351T13:23:26,Fault,BA,none
2025-351T13:23:36,AvgVin,240.6,U
2025-351T13:23:36,AvgVout,226.6,U
2025-351T13:23:36,AvgAmps,0013.0,I
2025-351T13:23:36,Avg_kVA,02.9420,S
2025-351T13:23:36,MinVin,240.0,U
2025-351T13:23:36,MaxVin,240.9,U
2025-351T13:23:36,MinVout,226.5,U
2025-351T13:23:36,MaxVout,226.7,U
2025-351T13:23:36,MinAmps,0011.0,I
2025-351T13:23:36,MaxAmps,0013.0,I
2025-351T13:23:36,Avg_kW,-004.927,P
2025-351T13:23:36,TempC,019,
2025-351T13:23:36,PSats,0000,
2025-351T13:23:36,NSats,0000,
2025-351T13:23:36,SF,0000,
2025-351T13:23:36,GDE,0000,
2025-351T13:23:36,Date,18/12/2025,
2025-351T13:23:37,AvgVin,242.5,U
2025-351T13:23:37,AvgVout,226.5,U
2025-351T13:23:37,AvgAmps,0013.0,I
2025-351T13:23:37,Avg_kVA,02.9193,S
2025-351T13:23:37,MinVin,242.1,U
2025-351T13:23:37,MaxVin,242.8,U
2025-351T13:23:37,MinVout,226.3,U
2025-351T13:23:37,MaxVout,226.6,U
2025-351T13:23:37,MinAmps,0011.0,I
2025-351T13:23:37,MaxAmps,0013.0,I
2025-351T13:23:37,Avg_kW,-002.302,P
2025-351T13:23:37,TempC,018,
2025-351T13:23:37,PSats,0000,
2025-351T13:23:37,NSats,0000,
2025-351T13:23:37,SF,0000,
2025-351T13:23:37,GDE,0000,
2025-351T13:23:37,Date,19/12/2025,
2025-351T13:23:38,AvgVin,242.3,U
2025-351T13:23:38,AvgVout,226.6,U
2025-351T13:23:38,AvgAmps,0013.0,I
2025-351T13:23:38,Avg_kVA,02.9118,S
2025-351T13:23:38,MinVin,241.9,U
2025-351T13:23:38,MaxVin,242.6,U
2025-351T13:23:38,MinVout,226.5,U
2025-351T13:23:38,MaxVout,226.7,U
2025-351T13:23:38,MinAmps,0011.0,I
2025-351T13:23:38,MaxAmps,0013.0,I
2025-351T13:23:38,Avg_kW,-006.087,P
2025-351T13:23:38,TempC,018,
2025-351T13:23:38,PSats,0000,
2025-351T13:23:38,NSats,0000,
2025-351T13:23:38,SF,0000,
2025-351T13:23:38,GDE,0000,
2025-351T13:23:38,Date,20/12/2025,
2025-351T13:23:46,Fault,BA,none
2025-351T13:24:17,Fault,BA,none
2025-351T13:24:36,AvgVin,240.8,U
2025-351T13:24:36,AvgVout,226.6,U
2025-351T13:24:36,AvgAmps,0013.0,I
2025-351T13:24:36,Avg_kVA,02.9420,S
2025-351T13:24:36,MinVin,240.5,U
2025-351T13:24:36,MaxVin,241.2,U
2025-351T13:24:36,MinVout,226.6,U
2025-351T13:24:36,MaxVout,226.6,U
2025-351T13:24:36,MinAmps,0011.0,I
2025-351T13:24:36,MaxAmps,0013.0,I
2025-351T13:24:36,Avg_kW,-005.043,P
2025-351T13:24:36,TempC,019,
2025-351T13:24:36,PSats,0000,
2025-351T13:24:36,NSats,0000,
2025-351T13:24:36,SF,0000,
2025-351T13:24:36,GDE,0000,
2025-351T13:24:36,Date,18/12/2025,
2025-351T13:24:37,AvgVin,242.6,U
2025-351T13:24:37,AvgVout,226.5,U
2025-351T13:24:37,AvgAmps,0011.0,I
2025-351T13:24:37,Avg_kVA,02.9155,S
2025-351T13:24:37,MinVin,242.1,U
2025-351T13:24:37,MaxVin,243.0,U
2025-351T13:24:37,MinVout,226.5,U
2025-351T13:24:37,MaxVout,226.7,U
2025-351T13:24:37,MinAmps,0011.0,I
2025-351T13:24:37,MaxAmps,0013.0,I
2025-351T13:24:37,Avg_kW,-004.075,P
2025-351T13:24:37,TempC,019,
2025-351T13:24:37,PSats,0000,
2025-351T13:24:37,NSats,0000,
2025-351T13:24:37,SF,0000,
2025-351T13:24:37,GDE,0000,
2025-351T13:24:37,Date,19/12/2025,
2025-351T13:24:38,AvgVin,242.3,U
2025-351T13:24:38,AvgVout,226.6,U
2025-351T13:24:38,AvgAmps,0013.0,I
2025-351T13:24:38,Avg_kVA,02.9155,S
2025-351T13:24:38,MinVin,242.1,U
2025-351T13:24:38,MaxVin,242.6,U
2025-351T13:24:38,MinVout,226.6,U
2025-351T13:24:38,MaxVout,226.6,U
2025-351T13:24:38,MinAmps,0011.0,I
2025-351T13:24:38,MaxAmps,0013.0,I
2025-351T13:24:38,Avg_kW,-004.169,P
2025-351T13:24:38,TempC,018,
2025-351T13:24:38,PSats,0000,
2025-351T13:24:38,NSats,0000,
2025-351T13:24:38,SF,0000,
2025-351T13:24:38,GDE,0000,
2025-351T13:24:38,Date,20/12/2025,
2025-351T13:25:36,AvgVin,240.9,U
2025-351T13:25:36,AvgVout,226.6,U
2025-351T13:25:36,AvgAmps,0013.0,I
2025-351T13:25:36,Avg_kVA,02.9420,S
2025-351T13:25:36,MinVin,240.7,U
2025-351T13:25:36,MaxVin,241.2,U
2025-351T13:25:36,MinVout,226.6,U
2025-351T13:25:36,MaxVout,226.6,U
2025-351T13:25:36,MinAmps,0011.0,I
2025-351T13:25:36,MaxAmps,0013.0,I
2025-351T13:25:36,Avg_kW,-005.744,P
2025-351T13:25:36,TempC,019,
2025-351T13:25:36,PSats,0000,
2025-351T13:25:36,NSats,0000,
2025-351T13:25:36,SF,0000,
2025-351T13:25:36,GDE,0000,
2025-351T13:25:36,Date,18/12/2025,
2025-351T13:25:37,AvgVin,242.7,U
2025-351T13:25:37,AvgVout,226.5,U
2025-351T13:25:37,AvgAmps,0013.0,I
2025-351T13:25:37,Avg_kVA,02.9155,S
2025-351T13:25:37,MinVin,242.5,U
2025-351T13:25:37,MaxVin,243.1,U
2025-351T13:25:37,MinVout,226.4,U
2025-351T13:25:37,MaxVout,226.7,U
2025-351T13:25:37,MinAmps,0011.0,I
2025-351T13:25:37,MaxAmps,0013.0,I
2025-351T13:25:37,Avg_kW,-004.838,P
2025-351T13:25:37,TempC,019,
2025-351T13:25:37,PSats,0000,
2025-351T13:25:37,NSats,0000,
2025-351T13:25:37,SF,0000,
2025-351T13:25:37,GDE,0000,
2025-351T13:25:37,Date,19/12/2025,
2025-351T13:25:38,AvgVin,242.0,U
2025-351T13:25:38,AvgVout,226.5,U
2025-351T13:25:38,AvgAmps,0013.0,I
2025-351T13:25:38,Avg_kVA,02.9344,S
2025-351T13:25:38,MinVin,241.7,U
2025-351T13:25:38,MaxVin,242.3,U
2025-351T13:25:38,MinVout,226.5,U
2025-351T13:25:38,MaxVout,226.6,U
2025-351T13:25:38,MinAmps,0011.0,I
2025-351T13:25:38,MaxAmps,0013.0,I
2025-351T13:25:38,Avg_kW,-001.014,P
2025-351T13:25:38,TempC,018,
2025-351T13:25:38,PSats,0000,
2025-351T13:25:38,NSats,0000,
2025-351T13:25:38,SF,0000,
2025-351T13:25:38,GDE,0000,
2025-351T13:25:38,Date,20/12/2025,
2025-351T13:26:36,AvgVin,240.6,U
2025-351T13:26:36,AvgVout,226.5,U
2025-351T13:26:36,AvgAmps,0013.0,I
2025-351T13:26:36,Avg_kVA,02.9419,S
2025-351T13:26:36,MinVin,240.4,U
2025-351T13:26:36,MaxVin,241.0,U
2025-351T13:26:36,MinVout,226.4,U
2025-351T13:26:36,MaxVout,226.6,U
2025-351T13:26:36,MinAmps,0011.0,I
2025-351T13:26:36,MaxAmps,0013.0,I
2025-351T13:26:36,Avg_kW,-003.416,P
2025-351T13:26:36,TempC,019,
2025-351T13:26:36,PSats,0000,
2025-351T13:26:36,NSats,0000,
2025-351T13:26:36,SF,0000,
2025-351T13:26:36,GDE,0000,
2025-351T13:26:36,Date,18/12/2025,
2025-351T13:26:37,AvgVin,242.7,U
2025-351T13:26:37,AvgVout,226.5,U
2025-351T13:26:37,AvgAmps,0013.0,I
2025-351T13:26:37,Avg_kVA,02.9382,S
2025-351T13:26:37,MinVin,242.2,U
2025-351T13:26:37,MaxVin,243.0,U
2025-351T13:26:37,MinVout,226.5,U
2025-351T13:26:37,MaxVout,226.7,U
2025-351T13:26:37,MinAmps,0011.0,I
2025-351T13:26:37,MaxAmps,0013.0,I
2025-351T13:26:37,Avg_kW,-005.922,P
2025-351T13:26:37,TempC,018,
2025-351T13:26:37,PSats,0000,
2025-351T13:26:37,NSats,0000,
2025-351T13:26:37,SF,0000,
2025-351T13:26:37,GDE,0000,
2025-351T13:26:37,Date,19/12/2025,
2025-351T13:26:38,AvgVin,241.7,U
2025-351T13:26:38,AvgVout,226.5,U
2025-351T13:26:38,AvgAmps,0013.0,I
2025-351T13:26:38,Avg_kVA,02.9193,S
2025-351T13:26:38,MinVin,241.1,U
2025-351T13:26:38,MaxVin,242.0,U
2025-351T13:26:38,MinVout,226.5,U
2025-351T13:26:38,MaxVout,226.6,U
2025-351T13:26:38,MinAmps,0011.0,I
2025-351T13:26:38,MaxAmps,0013.0,I
2025-351T13:26:38,Avg_kW,-005.612,P
2025-351T13:26:38,TempC,018,
2025-351T13:26:38,PSats,0000,
2025-351T13:26:38,NSats,0000,
2025-351T13:26:38,SF,0000,
2025-351T13:26:38,GDE,0000,
2025-351T13:26:38,Date,20/12/2025,
2025-351T13:27:36,AvgVin,239.7,U
2025-351T13:27:36,AvgVout,226.6,U
2025-351T13:27:36,AvgAmps,0013.0,I
2025-351T13:27:36,Avg_kVA,02.9420,S
2025-351T13:27:36,MinVin,239.4,U
2025-351T13:27:36,MaxVin,240.6,U
2025-351T13:27:36,MinVout,226.6,U
2025-351T13:27:36,MaxVout,226.7,U
2025-351T13:27:36,MinAmps,0011.0,I
2025-351T13:27:36,MaxAmps,0013.0,I
2025-351T13:27:36,Avg_kW,-005.810,P
2025-351T13:27:36,TempC,019,
2025-351T13:27:36,PSats,0000,
2025-351T13:27:36,NSats,0000,
2025-351T13:27:36,SF,0000,
2025-351T13:27:36,GDE,0000,
2025-351T13:27:36,Date,18/12/2025,
2025-351T13:27:37,AvgVin,242.3,U
2025-351T13:27:37,AvgVout,226.5,U
2025-351T13:27:37,AvgAmps,0013.0,I
2025-351T13:27:37,Avg_kVA,02.9344,S
2025-351T13:27:37,MinVin,242.1,U
2025-351T13:27:37,MaxVin,242.6,U
2025-351T13:27:37,MinVout,226.5,U
2025-351T13:27:37,MaxVout,226.7,U
2025-351T13:27:37,MinAmps,0011.0,I
2025-351T13:27:37,MaxAmps,0013.0,I
2025-351T13:27:37,Avg_kW,-004.401,P
2025-351T13:27:37,TempC,018,
2025-351T13:27:37,PSats,0000,
2025-351T13:27:37,NSats,0000,
2025-351T13:27:37,SF,0000,
2025-351T13:27:37,GDE,0000,
2025-351T13:27:37,Date,19/12/2025,
2025-351T13:27:38,AvgVin,241.7,U
2025-351T13:27:38,AvgVout,226.6,U
2025-351T13:27:38,AvgAmps,0013.0,I
2025-351T13:27:38,Avg_kVA,02.9118,S
2025-351T13:27:38,MinVin,241.5,U
2025-351T13:27:38,MaxVin,242.1,U
2025-351T13:27:38,MinVout,226.5,U
2025-351T13:27:38,MaxVout,226.7,U
2025-351T13:27:38,MinAmps,0011.0,I
2025-351T13:27:38,MaxAmps,0013.0,I
2025-351T13:27:38,Avg_kW,-004.453,P
2025-351T13:27:38,TempC,018,
2025-351T13:27:38,PSats,0000,
2025-351T13:27:38,NSats,0000,
2025-351T13:27:38,SF,0000,
2025-351T13:27:38,GDE,0000,
2025-351T13:27:38,Date,20/12/2025,
2025-351T13:28:36,AvgVin,240.2,U
2025-351T13:28:36,AvgVout,226.6,U
2025-351T13:28:36,AvgAmps,0013.0,I
2025-351T13:28:36,Avg_kVA,02.9382,S
2025-351T13:28:36,MinVin,239.3,U
2025-351T13:28:36,MaxVin,240.7,U
2025-351T13:28:36,MinVout,226.5,U
2025-351T13:28:36,MaxVout,226.7,U
2025-351T13:28:36,MinAmps,0011.0,I
2025-351T13:28:36,MaxAmps,0013.0,I
2025-351T13:28:36,Avg_kW,-004.918,P
2025-351T13:28:36,TempC,019,
2025-351T13:28:36,PSats,0000,
2025-351T13:28:36,NSats,0000,
2025-351T13:28:36,SF,0000,
2025-351T13:28:36,GDE,0000,
2025-351T13:28:36,Date,18/12/2025,
2025-351T13:28:37,AvgVin,242.5,U
2025-351T13:28:37,AvgVout,226.5,U
2025-351T13:28:37,AvgAmps,0013.0,I
2025-351T13:28:37,Avg_kVA,02.9344,S
2025-351T13:28:37,MinVin,242.1,U
2025-351T13:28:37,MaxVin,242.7,U
2025-351T13:28:37,MinVout,226.5,U
2025-351T13:28:37,MaxVout,226.7,U
2025-351T13:28:37,MinAmps,0011.0,I
2025-351T13:28:37,MaxAmps,0013.0,I
2025-351T13:28:37,Avg_kW,-006.212,P
2025-351T13:28:37,TempC,018,
2025-351T13:28:37,PSats,0000,
2025-351T13:28:37,NSats,0000,
2025-351T13:28:37,SF,0000,
2025-351T13:28:37,GDE,0000,
2025-351T13:28:37,Date,19/12/2025,
2025-351T13:28:38,AvgVin,242.0,U
2025-351T13:28:38,AvgVout,226.6,U
2025-351T13:28:38,AvgAmps,0013.0,I
2025-351T13:28:38,Avg_kVA,02.9118,S
2025-351T13:28:38,MinVin,241.3,U
2025-351T13:28:38,MaxVin,242.2,U
2025-351T13:28:38,MinVout,226.6,U
2025-351T13:28:38,MaxVout,226.7,U
2025-351T13:28:38,MinAmps,0011.0,I
2025-351T13:28:38,MaxAmps,0013.0,I
2025-351T13:28:38,Avg_kW,-005.996,P
2025-351T13:28:38,TempC,018,
2025-351T13:28:38,PSats,0000,
2025-351T13:28:38,NSats,0000,
2025-351T13:28:38,SF,0000,
2025-351T13:28:38,GDE,0000,
2025-351T13:28:38,Date,20/12/2025,
2025-351T13:29:36,AvgVin,240.6,U
2025-351T13:29:36,AvgVout,226.5,U
2025-351T13:29:36,AvgAmps,0013.0,I
2025-351T13:29:36,Avg_kVA,02.9382,S
2025-351T13:29:36,MinVin,240.1,U
2025-351T13:29:36,MaxVin,240.9,U
2025-351T13:29:36,MinVout,226.4,U
2025-351T13:29:36,MaxVout,226.7,U
2025-351T13:29:36,MinAmps,0011.0,I
2025-351T13:29:36,MaxAmps,0013.0,I
2025-351T13:29:36,Avg_kW,-005.395,P
2025-351T13:29:36,TempC,019,
2025-351T13:29:36,PSats,0000,
2025-351T13:29:36,NSats,0000,
2025-351T13:29:36,SF,0000,
2025-351T13:29:36,GDE,0000,
2025-351T13:29:36,Date,18/12/2025,
2025-351T13:29:37,AvgVin,242.6,U
2025-351T13:29:37,AvgVout,226.6,U
2025-351T13:29:37,AvgAmps,0011.0,I
2025-351T13:29:37,Avg_kVA,02.9155,S
2025-351T13:29:37,MinVin,242.3,U
2025-351T13:29:37,MaxVin,242.8,U
2025-351T13:29:37,MinVout,226.6,U
2025-351T13:29:37,MaxVout,226.6,U
2025-351T13:29:37,MinAmps,0011.0,I
2025-351T13:29:37,MaxAmps,0013.0,I
2025-351T13:29:37,Avg_kW,-005.282,P
2025-351T13:29:37,TempC,018,
2025-351T13:29:37,PSats,0000,
2025-351T13:29:37,NSats,0000,
2025-351T13:29:37,SF,0000,
2025-351T13:29:37,GDE,0000,
2025-351T13:29:37,Date,19/12/2025,
2025-351T13:29:38,AvgVin,241.7,U
2025-351T13:29:38,AvgVout,226.6,U
2025-351T13:29:38,AvgAmps,0013.0,I
2025-351T13:29:38,Avg_kVA,02.8929,S
2025-351T13:29:38,MinVin,241.4,U
2025-351T13:29:38,MaxVin,242.0,U
2025-351T13:29:38,MinVout,226.4,U
2025-351T13:29:38,MaxVout,226.7,U
2025-351T13:29:38,MinAmps,0011.0,I
2025-351T13:29:38,MaxAmps,0013.0,I
2025-351T13:29:38,Avg_kW,-002.909,P
2025-351T13:29:38,TempC,018,
2025-351T13:29:38,PSats,0000,
2025-351T13:29:38,NSats,0000,
2025-351T13:29:38,SF,0000,
2025-351T13:29:38,GDE,0000,
2025-351T13:29:38,Date,20/12/2025,
2025-351T13:30:36,AvgVin,240.9,U
2025-351T13:30:36,AvgVout,226.5,U
2025-351T13:30:36,AvgAmps,0013.0,I
2025-351T13:30:36,Avg_kVA,02.9495,S
2025-351T13:30:36,MinVin,240.7,U
2025-351T13:30:36,MaxVin,241.1,U
2025-351T13:30:36,MinVout,226.5,U
2025-351T13:30:36,MaxVout,226.7,U
2025-351T13:30:36,MinAmps,0013.0,I
2025-351T13:30:36,MaxAmps,0015.0,I
2025-351T13:30:36,Avg_kW,-005.273,P
2025-351T13:30:36,TempC,019,
2025-351T13:30:36,PSats,0000,
2025-351T13:30:36,NSats,0000,
2025-351T13:30:36,SF,0000,
2025-351T13:30:36,GDE,0000,
2025-351T13:30:36,Date,18/12/2025,
2025-351T13:30:37,AvgVin,242.4,U
2025-351T13:30:37,AvgVout,226.6,U
2025-351T13:30:37,AvgAmps,0013.0,I
2025-351T13:30:37,Avg_kVA,02.9080,S
2025-351T13:30:37,MinVin,242.3,U
2025-351T13:30:37,MaxVin,242.7,U
2025-351T13:30:37,MinVout,226.6,U
2025-351T13:30:37,MaxVout,226.6,U
2025-351T13:30:37,MinAmps,0011.0,I
2025-351T13:30:37,MaxAmps,0013.0,I
2025-351T13:30:37,Avg_kW,-006.845,P
2025-351T13:30:37,TempC,018,
2025-351T13:30:37,PSats,0000,
2025-351T13:30:37,NSats,0000,
2025-351T13:30:37,SF,0000,
2025-351T13:30:37,GDE,0000,
2025-351T13:30:37,Date,19/12/2025,
2025-351T13:30:38,AvgVin,241.5,U
2025-351T13:30:38,AvgVout,226.6,U
2025-351T13:30:38,AvgAmps,0013.0,I
2025-351T13:30:38,Avg_kVA,02.9231,S
2025-351T13:30:38,MinVin,241.4,U
2025-351T13:30:38,MaxVin,241.8,U
2025-351T13:30:38,MinVout,226.5,U
2025-351T13:30:38,MaxVout,226.7,U
2025-351T13:30:38,MinAmps,0011.0,I
2025-351T13:30:38,MaxAmps,0013.0,I
2025-351T13:30:38,Avg_kW,-004.419,P
2025-351T13:30:38,TempC,018,
2025-351T13:30:38,PSats,0000,
2025-351T13:30:38,NSats,0000,
2025-351T13:30:38,SF,0000,
2025-351T13:30:38,GDE,0000,
2025-351T13:30:38,Date,20/12/2025,
2025-351T13:31:36,AvgVin,240.9,U
2025-351T13:31:36,AvgVout,226.6,U
2025-351T13:31:36,AvgAmps,0013.0,I
2025-351T13:31:36,Avg_kVA,02.9458,S
2025-351T13:31:36,MinVin,240.6,U
2025-351T13:31:36,MaxVin,241.3,U
2025-351T13:31:36,MinVout,226.5,U
2025-351T13:31:36,MaxVout,226.7,U
2025-351T13:31:36,MinAmps,0013.0,I
2025-351T13:31:36,MaxAmps,0013.0,I
2025-351T13:31:36,Avg_kW,-001.209,P
2025-351T13:31:36,TempC,019,
2025-351T13:31:36,PSats,0000,
2025-351T13:31:36,NSats,0000,
2025-351T13:31:36,SF,0000,
2025-351T13:31:36,GDE,0000,
2025-351T13:31:36,Date,18/12/2025,
2025-351T13:31:37,AvgVin,242.5,U
2025-351T13:31:37,AvgVout,226.5,U
2025-351T13:31:37,AvgAmps,0013.0,I
2025-351T13:31:37,Avg_kVA,02.9193,S
2025-351T13:31:37,MinVin,242.3,U
2025-351T13:31:37,MaxVin,242.8,U
2025-351T13:31:37,MinVout,226.5,U
2025-351T13:31:37,MaxVout,226.6,U
2025-351T13:31:37,MinAmps,0011.0,I
2025-351T13:31:37,MaxAmps,0013.0,I
2025-351T13:31:37,Avg_kW,-005.632,P
2025-351T13:31:37,TempC,018,
2025-351T13:31:37,PSats,0000,
2025-351T13:31:37,NSats,0000,
2025-351T13:31:37,SF,0000,
2025-351T13:31:37,GDE,0000,
2025-351T13:31:37,Date,19/12/2025,
2025-351T13:31:38,AvgVin,241.2,U
2025-351T13:31:38,AvgVout,226.5,U
2025-351T13:31:38,AvgAmps,0013.0,I
2025-351T13:31:38,Avg_kVA,02.9231,S
2025-351T13:31:38,MinVin,240.7,U
2025-351T13:31:38,MaxVin,241.7,U
2025-351T13:31:38,MinVout,226.5,U
2025-351T13:31:38,MaxVout,226.6,U
2025-351T13:31:38,MinAmps,0011.0,I
2025-351T13:31:38,MaxAmps,0015.0,I
2025-351T13:31:38,Avg_kW,-005.334,P
2025-351T13:31:38,TempC,018,
2025-351T13:31:38,PSats,0000,
2025-351T13:31:38,NSats,0000,
2025-351T13:31:38,SF,0000,
2025-351T13:31:38,GDE,0000,
2025-351T13:31:38,Date,20/12/2025,
2025-351T13:32:36,AvgVin,240.5,U
2025-351T13:32:36,AvgVout,226.5,U
2025-351T13:32:36,AvgAmps,0013.0,I
2025-351T13:32:36,Avg_kVA,02.9344,S
2025-351T13:32:36,MinVin,240.4,U
2025-351T13:32:36,MaxVin,240.8,U
2025-351T13:32:36,MinVout,226.4,U
2025-351T13:32:36,MaxVout,226.7,U
2025-351T13:32:36,MinAmps,0011.0,I
2025-351T13:32:36,MaxAmps,0013.0,I
2025-351T13:32:36,Avg_kW,-005.881,P
2025-351T13:32:36,TempC,019,
2025-351T13:32:36,PSats,0000,
2025-351T13:32:36,NSats,0000,
2025-351T13:32:36,SF,0000,
2025-351T13:32:36,GDE,0000,
2025-351T13:32:36,Date,18/12/2025,
2025-351T13:32:37,AvgVin,242.8,U
2025-351T13:32:37,AvgVout,226.6,U
2025-351T13:32:37,AvgAmps,0013.0,I
2025-351T13:32:37,Avg_kVA,02.9382,S
2025-351T13:32:37,MinVin,242.6,U
2025-351T13:32:37,MaxVin,243.0,U
2025-351T13:32:37,MinVout,226.6,U
2025-351T13:32:37,MaxVout,226.7,U
2025-351T13:32:37,MinAmps,0011.0,I
2025-351T13:32:37,MaxAmps,0013.0,I
2025-351T13:32:37,Avg_kW,-005.030,P
2025-351T13:32:37,TempC,018,
2025-351T13:32:37,PSats,0000,
2025-351T13:32:37,NSats,0000,
2025-351T13:32:37,SF,0000,
2025-351T13:32:37,GDE,0000,
2025-351T13:32:37,Date,19/12/2025,
2025-351T13:32:38,Fault,BA,none
2025-351T13:32:38,AvgVin,241.0,U
2025-351T13:32:38,AvgVout,226.6,U
2025-351T13:32:38,AvgAmps,0013.0,I
2025-351T13:32:38,Avg_kVA,02.9118,S
2025-351T13:32:38,MinVin,240.7,U
2025-351T13:32:38,MaxVin,241.3,U
2025-351T13:32:38,MinVout,226.5,U
2025-351T13:32:38,MaxVout,226.7,U
2025-351T13:32:38,MinAmps,0011.0,I
2025-351T13:32:38,MaxAmps,0013.0,I
2025-351T13:32:38,Avg_kW,-004.766,P
2025-351T13:32:38,TempC,018,
2025-351T13:32:38,PSats,0000,
2025-351T13:32:38,NSats,0000,
2025-351T13:32:38,SF,0000,
2025-351T13:32:38,GDE,0000,
2025-351T13:32:38,Date,20/12/2025,
2025-351T13:32:39,Fault,FA,none
2025-351T13:32:43,Fault,FA,none
2025-351T13:32:45,Fault,BA,none
2025-351T13:33:05,Fault,BA,none
2025-351T13:33:06,Fault,FA,none
2025-351T13:33:06,Fault,FA,none
2025-351T13:33:08,Fault,BA,none
2025-351T13:33:13,Fault,BA,none
2025-351T13:33:14,Fault,FA,none
2025-351T13:33:14,Fault,FA,none
2025-351T13:33:15,Fault,BA,none
2025-351T13:33:36,AvgVin,240.9,U
2025-351T13:33:36,AvgVout,226.6,U
2025-351T13:33:36,AvgAmps,0013.0,I
2025-351T13:33:36,Avg_kVA,02.9458,S
2025-351T13:33:36,MinVin,240.7,U
2025-351T13:33:36,MaxVin,241.3,U
2025-351T13:33:36,MinVout,226.5,U
2025-351T13:33:36,MaxVout,226.7,U
2025-351T13:33:36,MinAmps,0013.0,I
2025-351T13:33:36,MaxAmps,0013.0,I
2025-351T13:33:36,Avg_kW,-005.688,P
2025-351T13:33:36,TempC,019,
2025-351T13:33:36,PSats,0000,
2025-351T13:33:36,NSats,0000,
2025-351T13:33:36,SF,0000,
2025-351T13:33:36,GDE,0000,
2025-351T13:33:36,Date,18/12/2025,
2025-351T13:33:37,AvgVin,243.0,U
2025-351T13:33:37,AvgVout,226.5,U
2025-351T13:33:37,AvgAmps,0013.0,I
2025-351T13:33:37,Avg_kVA,02.9420,S
2025-351T13:33:37,MinVin,242.6,U
2025-351T13:33:37,MaxVin,243.3,U
2025-351T13:33:37,MinVout,226.5,U
2025-351T13:33:37,MaxVout,226.6,U
2025-351T13:33:37,MinAmps,0011.0,I
2025-351T13:33:37,MaxAmps,0013.0,I
2025-351T13:33:37,Avg_kW,+000.442,P
2025-351T13:33:37,TempC,018,
2025-351T13:33:37,PSats,0000,
2025-351T13:33:37,NSats,0000,
2025-351T13:33:37,SF,0000,
2025-351T13:33:37,GDE,0000,
2025-351T13:33:37,Date,19/12/2025,
2025-351T13:33:38,AvgVin,241.4,U
2025-351T13:33:38,AvgVout,226.5,U
2025-351T13:33:38,AvgAmps,0013.0,I
2025-351T13:33:38,Avg_kVA,02.9117,S
2025-351T13:33:38,MinVin,241.0,U
2025-351T13:33:38,MaxVin,242.0,U
2025-351T13:33:38,MinVout,226.5,U
2025-351T13:33:38,MaxVout,226.7,U
2025-351T13:33:38,MinAmps,0011.0,I
2025-351T13:33:38,MaxAmps,0013.0,I
2025-351T13:33:38,Avg_kW,-005.525,P
2025-351T13:33:38,TempC,018,
2025-351T13:33:38,PSats,0000,
2025-351T13:33:38,NSats,0000,
2025-351T13:33:38,SF,0000,
2025-351T13:33:38,GDE,0000,
2025-351T13:33:38,Date,20/12/2025,
2025-351T13:33:46,Fault,BA,none
2025-351T13:33:46,Fault,FA,none
2025-351T13:33:47,Fault,FA,none
2025-351T13:33:48,Fault,BA,none
2025-351T13:34:36,AvgVin,241.2,U
2025-351T13:34:36,AvgVout,226.6,U
2025-351T13:34:36,AvgAmps,0013.0,I
2025-351T13:34:36,Avg_kVA,02.9420,S
2025-351T13:34:36,MinVin,240.7,U
2025-351T13:34:36,MaxVin,241.4,U
2025-351T13:34:36,MinVout,226.4,U
2025-351T13:34:36,MaxVout,226.7,U
2025-351T13:34:36,MinAmps,0011.0,I
2025-351T13:34:36,MaxAmps,0013.0,I
2025-351T13:34:36,Avg_kW,-000.141,P
2025-351T13:34:36,TempC,019,
2025-351T13:34:36,PSats,0000,
2025-351T13:34:36,NSats,0000,
2025-351T13:34:36,SF,0000,
2025-351T13:34:36,GDE,0000,
2025-351T13:34:36,Date,18/12/2025,
2025-351T13:34:37,AvgVin,243.1,U
2025-351T13:34:37,AvgVout,226.6,U
2025-351T13:34:37,AvgAmps,0013.0,I
2025-351T13:34:37,Avg_kVA,02.9269,S
2025-351T13:34:37,MinVin,242.8,U
2025-351T13:34:37,MaxVin,243.5,U
2025-351T13:34:37,MinVout,226.5,U
2025-351T13:34:37,MaxVout,226.9,U
2025-351T13:34:37,MinAmps,0011.0,I
2025-351T13:34:37,MaxAmps,0013.0,I
2025-351T13:34:37,Avg_kW,-004.920,P
2025-351T13:34:37,TempC,018,
2025-351T13:34:37,PSats,0000,
2025-351T13:34:37,NSats,0000,
2025-351T13:34:37,SF,0000,
2025-351T13:34:37,GDE,0000,
2025-351T13:34:37,Date,19/12/2025,
2025-351T13:34:38,AvgVin,242.2,U
2025-351T13:34:38,AvgVout,226.5,U
2025-351T13:34:38,AvgAmps,0013.0,I
2025-351T13:34:38,Avg_kVA,02.9230,S
2025-351T13:34:38,MinVin,241.9,U
2025-351T13:34:38,MaxVin,242.5,U
2025-351T13:34:38,MinVout,226.4,U
2025-351T13:34:38,MaxVout,226.6,U
2025-351T13:34:38,MinAmps,0011.0,I
2025-351T13:34:38,MaxAmps,0013.0,I
2025-351T13:34:38,Avg_kW,-005.833,P
2025-351T13:34:38,TempC,018,
2025-351T13:34:38,PSats,0000,
2025-351T13:34:38,NSats,0000,
2025-351T13:34:38,SF,0000,
2025-351T13:34:38,GDE,0000,
2025-351T13:34:38,Date,20/12/2025,
2025-351T13:35:36,AvgVin,241.0,U
2025-351T13:35:36,AvgVout,226.5,U
